topic,body
sugar,"The U.S. Agriculture Department said cumulative sugar imports from individual countries during the 1987 quota year, which began January 1, 1987 and ends December 31, 1987 were as follows, with quota allocations for the quota year in short tons, raw value --             CUMULATIVE     QUOTA 1987               IMPORTS     ALLOCATIONS  ARGENTINA        nil          39,130  AUSTRALIA        nil          75,530  BARBADOS         nil           7,500  BELIZE           nil          10,010  BOLIVIA          nil           7,500  BRAZIL           nil         131,950  CANADA           nil          18,876                            QUOTA 1987               IMPORTS     ALLOCATIONS  COLOMBIA         103          21,840  CONGO            nil           7,599  COSTA RICA       nil          17,583  IVORY COAST      nil           7,500  DOM REP        5,848         160,160  ECUADOR          nil          10,010  EL SALVADOR      nil          26,019.8  FIJI             nil          25,190  GABON            nil           7,500                            QUOTA 1987               IMPORTS     ALLOCATIONS  GUATEMALA        nil          43,680  GUYANA           nil          10,920  HAITI            nil           7,500  HONDURAS         nil          15,917.2  INDIA            nil           7,500  JAMAICA          nil          10,010  MADAGASCAR       nil           7,500  MALAWI           nil           9,,100                            QUOTA 1987                IMPORTS    ALLOCATIONS  MAURITIUS         nil         10,920  MEXICO             37          7,500  MOZAMBIQUE        nil         11,830  PANAMA            nil         26,390  PAPUA NEW GUINEA  nil          7,500  PARAGUAY          nil          7,500  PERU              nil         37,310  PHILIPPINES       nil        143,780  ST.CHRISTOPHER-  NEVIS             nil          7,500                           QUOTA 1987                 IMPORTS  ALLOCATIONS  SWAZILAND          nil         14,560  TAIWAN             nil         10,920  THAILAND           nil         12,740  TRINIDAD-TOBAGO    nil          7,500  URUGUAY            nil          7,500  ZIMBABWE           nil         10,920   Reuter "
grain,"There were seven grain ships loading and six ships were waiting to load at Portland, according to the Portland Merchants Exchange.  Reuter "
grain,"U.S. grain carloadings totaled 26,108 cars in the week ended February 21, down 2.2 pct from the previous week but 22.8 pct above the corresponding week a year ago, the Association of American Railroads reported.     Grain mill product loadings in the week totalled 11,382 cars, down 1.8 pct from the previous week but 7.6 pct above the same week a year earlier, the association said.  Reuter "
crude,"Diamond Shamrock Corp said that effective today it had cut its contract prices for crude oil by 1.50 dlrs a barrel.     The reduction brings its posted price for West Texas Intermediate to 16.00 dlrs a barrel, the copany said.     ""The price reduction today was made in the light of falling oil product prices and a weak crude oil market,"" a company spokeswoman said.     Diamond is the latest in a line of U.S. oil companies that have cut its contract, or posted, prices over the last two days citing weak oil markets.  Reuter "
grain,"A study on grain certificates due out shortly from the Government Accounting Office (GAO) could show that certificates cost the government 10 to 15 pct more than cash outlays, administration and industry sources said.     Analysis that the GAO has obtained from the Agriculture Department and the Office of Management and Budget suggests that certificates cost more than cash payments, a GAO official told Reuters.     GAO is preparing the certificate study at the specific request of Sen. Jesse Helms (R-N.C.), former chairman of the senate agriculture committee.     The report, which will focus on the cost of certificates compared to cash, is scheduled to be released in mid March.     The cost of certificates, said the GAO source, depends on the program's impact on the USDA loan program.     If GAO determines that certificates encourage more loan entries or cause more loan forfeitures, then the net cost of the program would go up. However, if it is determined that certificates have caused the government grain stockpile to decrease, the cost effect of certificates would be less.     GAO will not likely suggest whether the certificates program should be slowed or expanded, the GAO official said.     But a negative report on certificates ""will fuel the fire against certificates and weigh heavily on at least an increase in the certificate program,"" an agricultural consultant said.     The OMB is said to be against any expansion of the program, while USDA remains firmly committed to it.  Reuter "
crude,"OPEC may be forced to meet before a scheduled June session to readdress its production cutting agreement if the organization wants to halt the current slide in oil prices, oil industry analysts said.     ""The movement to higher oil prices was never to be as easy as OPEC thought. They may need an emergency meeting to sort out the problems,"" said Daniel Yergin, director of Cambridge Energy Research Associates, CERA.     Analysts and oil industry sources said the problem OPEC faces is excess oil supply in world oil markets.     ""OPEC's problem is not a price problem but a production issue and must be addressed in that way,"" said Paul Mlotok, oil analyst with Salomon Brothers Inc.     He said the market's earlier optimism about OPEC and its ability to keep production under control have given way to a pessimistic outlook that the organization must address soon if it wishes to regain the initiative in oil prices.     But some other analysts were uncertain that even an emergency meeting would address the problem of OPEC production above the 15.8 mln bpd quota set last December.     ""OPEC has to learn that in a buyers market you cannot have deemed quotas, fixed prices and set differentials,"" said the regional manager for one of the major oil companies who spoke on condition that he not be named. ""The market is now trying to teach them that lesson again,"" he added.     David T. Mizrahi, editor of Mideast reports, expects OPEC to meet before June, although not immediately. However, he is not optimistic that OPEC can address its principal problems.     ""They will not meet now as they try to take advantage of the winter demand to sell their oil, but in late March and April when demand slackens,"" Mizrahi said.     But Mizrahi said that OPEC is unlikely to do anything more than reiterate its agreement to keep output at 15.8 mln bpd.""     Analysts said that the next two months will be critical for OPEC's ability to hold together prices and output.     ""OPEC must hold to its pact for the next six to eight weeks since buyers will come back into the market then,"" said Dillard Spriggs of Petroleum Analysis Ltd in New York.     But Bijan Moussavar-Rahmani of Harvard University's Energy and Environment Policy Center said that the demand for OPEC oil has been rising through the first quarter and this may have prompted excesses in its production.     ""Demand for their (OPEC) oil is clearly above 15.8 mln bpd and is probably closer to 17 mln bpd or higher now so what we are seeing characterized as cheating is OPEC meeting this demand through current production,"" he told Reuters in a telephone interview.  Reuter "
cpi,"Switzerland's economy, combining low unemployment, financial stability and a large external payments surplus, is in excellent condition and faces a satisfactory future, the Organisation for Economic Cooperation and Development, OECD, said.     This reflected the success of stable and relatively tight fiscal and monetary policies followed by the government, it said.     The OECD, in its annual report on Switzerland, picked out some signs of a slowdown in activity and a slight pick-up in inflation this year, but said these gave no cause for concern.     The study forecast a decline in Gross Domestic Product growth to 1.75 pct this year from an estimated two pct in 1986 and a small rise in consumer price inflation to 1.25 pct after last year's sharp fall to 0.75 pct from 3.6 pct in 1985.     But it said job creation should continue to absorb a modest increase in the workforce, leaving the unemployment rate unchanged at around one pct, the lowest in the 24-industrial nation OECD area.     Assuming an average exchange rate of 1.71 Swiss francs to the dollar this year, against 1.69 in the second half of 1986, the report forecast a 2.75 pct rise in exports and a 3.5 pct rise in imports this year after rises of 3.25 pct and 6.5 pct respectively in 1986.     The faster growth of imports compared with exports this year and last, reflecting buoyant private consumption, meant that the contribution of the foreign payments balance to GDP would shrink in both years.     But ""given Switzerland's large external surplus, there should be no concern if domestic demand grows faster than GDP...Which, if only in a small way, would contribute to improving international balances,"" the OECD said.     Real private consumption appeared to have been unusually buoyant last year, with a 3.25 pct growth rate, after several years of relative weakness, it noted.     In 1987 private consumption was expected to slow somewhat to a 2.25 pct growth rate, but should still outstrip overall GDP, it added.     The outlook for investment in plant and machinery remained bright into 1987, and with capacity use at near record levels last year there was scope for rationalisation and modernisation in both the industry and service sectors, it said.     As a consequence, growth in machinery and equipment investment is likely to decelerate only slightly this year after vigorous growth in 1986.     But the report raised a questionmark over the prospects for tourism and the banking industry, two major service sector earners of foreign exchange.     The long-term appreciation of the Swiss Franc, and the accelerating deregulation of foreign banking markets, could lead to a loss of international market share for both, it said.     Particularly for the banks, ""recent developments in international financial markets give rise to the question whether the Swiss financial system, which has shown substantial flexibility in the past, is adapting itself at the speed required ... To preserve its competitive position,"" it said.  REUTER "
grain,"The U.S. Agriculture Department is not actively considering offering subsidized wheat to the Soviet Union under the export enhancement program (EEP), senior USDA officials said.     However, grain trade analysts said the proposal has not been ruled out and that an offer might be made, though not in the very near future.     ""The grain companies are trying to get this fired up again,"" an aide to Agriculture Secretary Richard Lyng said. ""But there just isn't much talk about it, informally or formally.""     Most analysts interviewed by Reuters were more confident than USDA officials that bonus wheat would be offered to the Soviets, even though U.S. officials did not make such an offer when they held grain talks with Soviet counterparts earlier this week.     But administration and private sources agreed that if the Reagan administration did decide to offer subsidized wheat to Moscow, it could take several months.     ""I just don't see any proposal like that sailing through any interagency process,"" the aide to Lyng said.     ""An export enhancement offer is not consummated overnight,"" said one former USDA official, who noted that the administration took three months to decide in favor of selling China wheat under the subsidy program.     An official representing a large grain trade company said deliberations within USDA might be nudged along by members of Congress, a number of whom urged USDA this week to make a wheat subsidy offer to the Soviets.     But Lyng's aide said that during a day-long visit to Capitol Hill yesterday, House members did not press the secretary on the subsidy question a single time.     The administration's interagency trade policy review group, comprised of subcabinet-level officials, has not been asked to clear a request to offer Moscow wheat under the EEP, officials at the U.S. Trade Representative's Office said.     In their talks this week, the two sides discussed the administration's previous EEP offer but did not talk about any new initiative. One USDA official who took part in the consultations this week described them as an exchange of ""calm, basic, factual economics.""     Another USDA official said there was ""not even an informal suggestion or hint"" that the Soviets would live up to their pledge to buy four mln tonnes of wheat this year if they were granted more favorable terms.     USDA and private sources agreed that consideration of an EEP initiative by interagency review groups likely would be delayed because of disarray within the White House stemming from the Iran arms affair.  Reuter "
crude,"Texaco Canada said it lowered the contract price it will pay for crude oil 64 Canadian cts a barrel, effective today.     The decrease brings the company's posted price for the benchmark grade, Edmonton/Swann Hills Light Sweet, to 22.26 Canadian dlrs a bbl.     Texaco Canada last changed its crude oil postings on Feb 19.  Reuter "
grain,"The U.S. Agriculture Department probably will not offer a two dlr per bushel bonus payment to corn farmers for any erodible cropland they enrolled in the conservation reserve program last year, an aide to USDA Secretary Richard Lyng said.     Sen. Charles Grassley (R-Iowa) said yesterday that Lyng had indicated he would consider giving those farmers the same two dlr bonus offered corn farmers who are signing up for the 1987 program this month.     But the aide to Lyng said it was doubtful that the department would offer a retroactive bonus to farmers who enrolled land in the 10-year conservation reserve last year.     ""How are you going to stop the tide,"" he said, referring to demands that would follow from other commodity groups.  Reuter "
crude,"Marathon Petroleum Co said it reduced the contract price it will pay for all grades of crude oil one dlr a barrel, effective today.     The decrease brings Marathon's posted price for both West Texas Intermediate and West Texas Sour to 16.50 dlrs a bbl. The South Louisiana Sweet grade of crude was reduced to 16.85 dlrs a bbl.     The company last changed its crude postings on Jan 12.  Reuter "
grain,"U.S. farmers who in the past have grown oats for their own use but failed to certify to the government that they had done so probably will be allowed to continue planting that crop and be eligible for corn program benefits, an aide to Agriculture Secretary Richard Lyng said.     Currently a farmer, to be eligible for corn program benefits, must restrict his plantings of other program crops to the acreage base for that crop.     Several members of Congress from Iowa have complained that farmers who inadvertantly failed to certify that they had grown oats for their own use in the past now are being asked to halt oats production or lose corn program benefits.     USDA likely will allow historic oats farmers to plant oats but not extend the exemption to all farmers, Lyng's aide said.  Reuter "
cpi,"France's right wing government is facing growing pressure to modify its economic policies after revising down its 1987 growth targets and revising up its inflation forecasts for this year.     Moving reluctantly into line with most private sector forecasts the government yesterday raised its 1987 inflation estimate a half percentage point to 2.5 per cent and cut its economic growth estimate to between two and 2.8 per cent from a 2.8 per cent target written into the annual budget last september.     Finance Minister Edouard Balladur said the revised figures would not push the government off its chosen mix of price deregulation, budget-cutting rigour and pay restraint.     But Trade Union leaders served immediate notice they would push to protect the purchasing power of their members, raising the spectre of a vicious spiral of wage and price rises.     And bank economists contacted by Reuters said they believed Prime Minister Jacques Chirac could be forced by slow growth and rising unemployment to reflate the economy later this year, perhaps in the autumn, to boost his prospects in Presidential elections due by April 1988.     ""The outlook is more worrying than it was a few weeks ago,"" said Societe Generale economist Alain Marais. ""We have the impression it may be difficult to get even two per cent growth this year.""     ""The big question is whether the government's policy of wage moderation will be maintained,"" he added.     The government has set public sector wage rises at aboout 1.7 per cent this year, with a three per cent ceiling for rises justified by increased productivity.     But the head of the socialist CFDT union federation, Edmond Maire, meeting with Chirac today, renewed union demands already rejected by the government for indexation clauses to be built into future pay contracts to safeguard workers against higher prices.     Calling the government's policies ""unbalanced and unjust,"" he also demanded investment incentives to boost employment. He announced after his meeting that Chirac had told him the government would spend two billion francs on a series of measures to boost employment and training     Andre Bergeron, a widely respected leader of the moderate Force Ouvriere labour group, put similar demands to Chirac earlier in the week while the Communist-led CGT, the largest of France's unions, declared the defence of its members earnings its top priority.     But with unemployment nearing 11 per cent last month, and still rising, government supporters and some economic analysts said they were confident Chirac could resist union pay demands.     ""Salary indexation was ended by the previous Socialist government and I dont think this administration is going to reverse that,"" commented Michel Develle, economist at recently-privatised Banque Paribas.     Damaging transport and electricity strikes over Christmas and the New Year, partly blamed by the government for higher inflation, had undermined the unions power and popularity, he said.     Develle said Paribas expected inflation to rise even more than the governments revised forecast, perhaps to 2.6 or 2.7 per cent this year against last years 2.1 per cent.     ""But that would still be an exceptional achievement considering that for the first time since the Second World War all french prices have been freed,"" he commented.     Finance Ministry officials said that the governments abolition of price and rent controls last year was responsible for nearly a quarter of a 0.9 per cent surge in January living costs.     But they claimed it was a once-off phenomenon that should have no knock-on impact on the rest of the year.     Both Marais and Develle said they agreed with that, so long as the government kept wages under control.     Prices could rise 1.5 per cent in the first three months of 1987 and two per cent in the first half year, fractionally more than forecast this week by the National Statistics Institute, INSEE,  Marais said. But the second half year should be better, he added.     Ironically, one side effect of higher inflation could be to help the government achieve its aim of cutting the state budget deficit, several analysts said.     So long as public sector wages are held down, higher Value Added Tax receipts resulting from rising prices should offset a loss in revenues that otherwise would result from slower than expected growth, they said.      Reuter "
crude,"Houston Oil Trust said that independent petroleum engineers completed an annual study that estimates the trust's future net revenues from total proved reserves at 88 mln dlrs and its discounted present value of the reserves at 64 mln dlrs.     Based on the estimate, the trust said there may be no money available for cash distributions to unitholders for the remainder of the year.     It said the estimates reflect a decrease of about 44 pct in net reserve revenues and 39 pct in discounted present value compared with the study made in 1985.  Reuter "
cpi,"Japan's unadjusted consumer price index (base 1985) fell 0.4 pct to 99.7 in January from the previous month, the government's Management and Coodination Agency said.     The fall compares with a decline of 0.2 pct in December.     The January index compared with a year earlier was down 1.1 pct, the first drop larger than 1.0 pct since it fell 1.3 pct in September 1958.     Food costs rose in January from December but prices fell for clothing, footwear and utilities, causing the overall decline for the month.     Housing, medical and educations costs increased in January compared with a year earlier but the cost of utilities, gasoline and vegetables fell.     The unadjusted consumer price index for the Tokyo area (base 1985) was down 0.1 pct in mid-February from a month earlier at 100.2, reflecting lower prices for food, clothing and footwear. Compared with a year earlier, the index was down 0.7 pct due to lower vegetable, fuel oil and utility costs.  REUTER "
interest,"Japan is expected to cut the base lending rate for state financial institutions to 5.5 pct from 6.2 as part of the recent pact by major industrial nations in Paris, Finance Ministry sources said.     They said the cut is based on a revision of the Trust Fund Bureau Law, which should be approved by parliament on March 3, abolishing the 6.05 pct minimum interest rate on deposits with the bureau.     The bureau channels funds to government financial institutions for public works and other official uses, they said.     The base lending rate for state bodies such as the Japan Development Bank, People's Finance Corp and the finance corporations of local public enterprises usually moves in tandem with long-term prime rates, the sources said.     However, it was impossible for them to follow the last cut, to 5.8 pct from 6.2 pct on January 28, because the Trust Fund Bureau rate was legally set at 6.05 pct.     The ministry will abolish the minimum rate and introduce a market-related one to resolve the problem and stimulate the domestic economy, they said.     On Tuesday, the ministry allowed long-term bankers to cut their prime to a record low of 5.5 pct, effective February 28. The move suggested it had reached agreement with depositors using the bureau, the postal savings system of the Posts and Telecommunications Ministry and the Japan welfare annuity of the Ministry of Health and Welfare, the sources said.     These ministries are trying to determine which market rates should be considered when setting the bureau's deposit rate, the ministry sources said.     Coupon rates on new 10-year government bonds, minus 0.1 percentage points, is the likeliest choice, they added.  REUTER "
gnp,"Domestic demand is now expected to make no contribution to Australian economic growth in fiscal 1986/87, ending June 30, while net exports will account for all of the overall increase, Treasurer Paul Keating said here.     However, he did not say in his speech to the Economic Planning Advisory Council (EPAC) if the forecast 2.25 pct rise in gross domestic product (gdp) had been revised.     But Keating said domestic demand could fall slightly this financial year and net export growth will provide the total source of gdp growth.     The August budget had forecast domestic demand would contribute 0.75 percentage points to non-farm gdp growth of 2.5 pct while net exports would account for 1.75 points.     Keating said the overall impact of the changed economic parameters is welcome as it appears to have contributed to a slightly more rapid correction in the current account deficit than first anticipated.     ""The government initially forecast a current account deficit for 1986/87 of 14.75 billion -- our present expectation is that the result will be somewhat lower, around 14 billion,"" he said.     Partial indicators released since the last meeting of EPAC in December indicate that the 1986/87 budget strategy is broadly on track, Keating said.     ""They indicate that domestic demand has been a little more sluggish than was expected at budget time,"" he said.     ""On the other hand, net exports seem to be expanding by more than expected at budget time, and this is underpinning growth in domestic production and employment.""     Keating said it now seems likely that the 1986/87 inflation rate will exceed the budget forecast of eight pct.     ""Nevertheless, there is likely to be a marked slowing in inflation over coming quarters as depreciation and budgetary effects wane,"" he said.     Keating said the government expects economic growth to pick up moderately in 1987/88 due to a further significant rise in net exports and a very moderate but positive contribution from private domestic demand.     He said domestic demand growth will be due to a strengthening in real household disposable income.     The moderate rise in economic growth next financial year should be sufficient to sustain employment growth at a level broadly equivalent to that of the current fiscal year.     ""The current account deficit will continue to show improvement in 1987/88,"" Keating said.     ""As the impact of the exchange rate depreciations of recent years recede further, and given continued effective wage restraint, inflation should moderate markedly in 1987/88,"" he said.  REUTER "
grain,"Thailand exported 84,960 tonnes of rice in the week ended February 24, up from 80,498 the previous week, the Commerce Ministry said.     It said government and private exporters shipped 27,510 and 57,450 tonnes respectively.     Private exporters concluded advance weekly sales for 79,448 tonnes against 79,014 the previous week.     Thailand exported 689,038 tonnes of rice between the beginning of January and February 24, up from 556,874 tonnes during the same period last year. It has commitments to export another 658,999 tonnes this year.  REUTER "
soybean,"The Tokyo Grain Exchange said it will raise the margin requirement on the spot and nearby month for U.S. And Chinese soybeans and red beans, effective March 2.     Spot April U.S. Soybean contracts will increase to 90,000 yen per 15 tonne lot from 70,000 now. Other months will stay unchanged at 70,000, except the new distant February requirement, which will be set at 70,000 from March 2.     Chinese spot March will be set at 110,000 yen per 15 tonne lot from 90,000. The exchange said it raised spot March requirement to 130,000 yen on contracts outstanding at March 13. Chinese nearby April rises to 90,000 yen from 70,000.     Other months will remain unchanged at 70,000 yen except new distant August, which will be set at 70,000 from March 2.     The new margin for red bean spot March rises to 150,000 yen per 2.4 tonne lot from 120,000 and to 190,000 for outstanding contracts as of March 13.     The nearby April requirement for red beans will rise to 100,000 yen from 60,000, effective March 2.     The margin money for other red bean months will remain unchanged at 60,000 yen, except new distant August, for which the requirement will also be set at 60,000 from March 2.  REUTER "
coffee,"Talks on the possibility of reintroducing global coffee export quotas have been extended into today, with sparks flying yesterday when a dissident group of exporters was not included in a key negotiating forum.     The special meeting of the International Coffee Organization (ICO) council was called to find a way to stop a prolonged slide in coffee prices.     However, delegates said no solution to the question of how to implement quotas was yet in sight.     World coffee export quotas -- the major device used to regulate coffee prices under the International Coffee Agreement -- were suspended a year ago when prices soared in reaction to a drought which cut Brazil""s output by nearly two thirds.     Brazil is the world""s largest coffee producer and exporter.     Producers and consumers now are facing off over the question of how quotas should be calculated under any future quota distribution scheme, delegates said.     Tempers flared late Saturday when a minority group of eight producing countries was not represented in a contact group of five producer and five consumer delegates plus alternates which was set up to facilitate debate.     The big producers ""want to have the ball only in their court and it isn""t fair,"" minority producer spokesman Luis Escalante of Costa Rica said.     The majority producer group has proposed resuming quotas April 1, using the previous ad hoc method of carving up quota shares, with a promise to try to negotiate basic quotas before September 30, delegates said.     Their plan would perpetuate the status quo, allowing Brazil to retain almost all of its current 30 pct share of the export market, Colombia 17 pct, Ivory Coast seven pct and Indonesia six pct, with the rest divided among smaller exporters.     But consuming countries and the dissident producer group have tabled separate proposals requiring quotas be determined by availability, using a formula incorporating exportable production and stocks statistics.     Their proposals would give Brazil a smaller quota share and Colombia and Indonesia a larger share, and bring a new quota distribution scheme into effect now rather than later.     Brazil has so far been unwilling to accept any proposal that would reduce its quota share, delegates said.     Delegates would not speculate on prospects for agreement on a quota package. ""Anything is possible at this phase,"" even adjournment of the meeting until March or April, one said.     If the ICO does agree on quotas, the price of coffee on the supermarket shelf is not likely to change sinnificantly as a result, industry sources said.     Retail coffee prices over the past year have remained about steady even though coffee market prices have tumbled, so an upswing probably will not be passed onto the consumer either, they said.  REUTER "
interest,The Italian treasury said annual coupon rates payable March 1988 on two issues of long-term treasury certificates (CCTs) would be cut by about four percentage points compared with rates this March.     Coupon rates on 10-year certificates maturing March 1995 will fall to 9.80 pct from 13.65 pct and rates on 10-year issues maturing in March 1996 would fall to 10.05 pct from 14.30 pct.     The Treasury also cut by 0.60 point six-monthly coupons payable this September on six issues maturing between September 1988 and September 1991.     The issues carry terms of between five and seven years and will have coupon rates of between 4.85 and 5.65 pct in September compared with 5.45 and 6.25 pct this March.  REUTER 
